Code,name,symptoms_0,symptoms_1,symptoms_2,symptoms_3,symptoms_4,symptoms_5,symptoms_6,symptoms_7,symptoms_8,symptoms_9,symptoms_10,symptoms_11,symptoms_12,symptoms_13,symptoms_14,symptoms_15,symptoms_16,symptoms_17,symptoms_18,symptoms_19,symptoms_20,symptoms_21,symptoms_22,symptoms_23,Description,commonTestsAndProcedures,commonMedications,age,gender,race/ethnicity
403,Alzheimer disease,Disturbance of memory,73,Depressive or psychotic symptoms,38,Depression,32,Problems with movement,15,Hostile behavior,15,Delusions or hallucinations,10,Difficulty speaking,9,Restlessness,4,Irregular appearing scalp,4,Fears and phobias,2,Muscle cram,,,2," , ,Alzheimer's disease (AD), also known in medical literature as Alzheimer disease, is the most common form of dementia. There is no cure for the disease, which worsens as it progresses, and eventually leads to death. It was first described by German psychiatrist and neuropathologist Alois Alzheimer in 1906 and was named after him. Most often, AD is diagnosed in people over 65 years of age, although the less-prevalent early-onset Alzheimer's can occur much earlier. In 2006, there were 26.6 million sufferers worldwide. Alzheimer's is predicted to affect 1 in 85 people globally by 2050. , Source: Wikipedia,Patients with alzheimer disease often receive ",",Electrocardiogram,X ray computed tomography Scan ct,Mental health counseling,Other diagnostic procedures interview evaluation consultation,Psychotherapy,Magnetic resonance imaging Mri,CAT scan of head Head ct,Insertion of catheter into urinary bladder",",Donepezil Aricept,Memantine Namenda,Rivastigmine Exelon,Galantamine,Dapiprazole Ophthalmic,Alendronate Cholecalciferol,Bromocriptine,Fluvastatin Lescol,Citric Acid,Astemizole,Hypromellose Genteal",75+,Unspecified,other
404,Vaginismus,Pain during intercourse,84,Pelvic pain,52,Vaginal pain,34,Sharp abdominal pain,29,Frequent urination,29,Lower abdominal pain,23,Vaginal dryness,17,Vaginal discharge,17,Suprapubic pain,17,Painful menstruation,17,Hot flashes,17,Heavy menstrual flow,"17"""," , ,Vaginismus, sometimes anglicized vaginism, is the condition that affects a woman's ability to engage in any form of vaginal penetration, including sexual intercourse, insertion of tampons and/or menstrual cups, and the penetration involved in gynecological examinations. This is the result of a reflex of the pubococcygeus muscle, which is sometimes referred to as the ""PC muscle"". The reflex causes the muscles in the vagina to tense suddenly, which makes any kind of vaginal penetrationincluding sexual intercoursepainful or impossible. , Source: Wikipedia,Patients with vaginismus often receive ",",Pelvis exam,Examination of breast,Urinalysis,Ultrasonography Ultrasound,Rectal examination,Complete physical skin exam performed ML,Mammography Mammogram,Pap smear",",Estradiol,Estrogens,emarin,Progesterone,Ortho Cyclen,Pindolol,Tolnaftate Topical,Neostigmine,Teriparatide Forteo,Desflurane,Pentosan Polysulphate Sodium Elmiron","30-44,15-29",female and,other
405,Systemic lupus erythematosis (SLE),Sharp chest pain,29,Ache all over,26,Joint pain,24,Knee pain,24,Leg swelling,8,Muscle pain,8,Joint swelling,4,Focal weakness,4,Bones are painful,4,Absence of menstruation,2,Too little hair,2,Hand or finger stiffness or tightness,"2"""," Also known as Lupus, SLE, and Disseminated Lupus Erythematosus , , ,Systemic lupus erythematosus i/s??st?m?k ?lu?p?s ??r??i?m??to?s?s/, often abbreviated to SLE or lupus, is a systemic autoimmune disease (or autoimmune connective tissue disease) that can affect any part of the body. As occurs in other autoimmune diseases, the immune system attacks the body's cells and tissue, resulting in inflammation and tissue damage. It is a Type III hypersensitivity reaction in which antibody-immune complexes precipitate and cause a further immune response. , Source: Wikipedia,Patients with systemic lupus erythematosis (sle) often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Glucose measurement Glucose level,Urinalysis,Complete physical skin exam performed ML,Electrolytes panel,Lipid panel,Hemoglobin A1c measurement Hemoglobin a1c test",",Prednisone,Hydroxychloroquine Plaquenil,Mycophenolate Mofetil Cellcept,Methotrexate,Azathioprine,Tacrolimus Prograf,Dapsone,Cyclophosphamide,Mycophenolic Acid Myfortic,Sevelamer Renvela,Etanercept Enbrel,Doxepin,Bosentan Tracleer",30-44,Unspecified,"other,black"
406,Premature ovarian failure,Infertility,82,Unpredictable menstruation,22,Absence of menstruation,22,Pelvic pain,18,Weight gain,13,Heavy menstrual flow,7,Hot flashes,7,Intermenstrual bleeding,7,Lack of growth,7,Dry or flaky scalp,7,Too little hair,7,Pain during intercourse,"7"""," , ,Premature Ovarian Failure (POF), also known as premature ovarian insufficiency, primary ovarian insufficiency (this is the most accurate term as some women may still conceive), premature menopause, hypergonadotropic hypogonadism, is the loss of function of the ovaries before age 40. A commonly cited triad for the diagnosis is amenorrhea, hypergonadotropinism, and hypoestrogenism. If it has a genetic cause, it may be called gonadal dysgenesis , Source: Wikipedia,Patients with premature ovarian failure often receive ",",Radiographic imaging procedure,Hematologic tests Blood test,Ultrasonography Ultrasound,Pelvis exam,Examination of breast,Standard pregnancy test,Rectal examination,Microscopic examination bacterial smear culture toxicology",",Human Chorionic Gonadotropin Hcg,Clomiphene Clomid,Medroxyprogesterone,Estradiol,Estrogens,emarin,Progesterone,Leuprolide Lupron,Menotropins Hmg,Letrozole Femara,Danazol,Minoxidil Topical","30-44,15-29",female and,other
407,Thoracic outlet syndrome,Neck pain,68,Arm pain,68,Shoulder pain,54,Loss of sensation,43,Paresthesia,43,Sharp chest pain,36,Weakness,36,Hand or finger weakness,36,Back pain,27,Hand or finger pain,27,Shoulder weakness,16,Decreased appetite,"16"""," , ,Thoracic outlet syndrome (TOS) is a syndrome involving compression at the superior thoracic outlet wherein excess pressure placed on a neurovascular bundle passing between the anterior scalene and middle scalene muscles. It can affect one or more of the nerves that innervate the upper limb and/or blood vessels as they pass between the chest and upper extremity; specifically in the brachial plexus, the subclavian artery, and - rarely - the subclavian vein, which does not normally pass through the scalene hiatus. , Source: Wikipedia,Patients with thoracic outlet syndrome often receive ",",Physical therapy exercises Exercises,Other diagnostic procedures interview evaluation consultation,Other physical therapy and rehabilitation,Magnetic resonance imaging Mri,Other therapeutic procedures,Thyroidectomy partial or complete,Cardiac stress tests,Orthopedic casting",",Gabapentin,Pregabalin Lyrica,Glatiramer Copaxone,Codeine,Letrozole Femara,Pyridoxine,Leuprolide Lupron,Metaxalone Skelaxin,Terazosin",45-59,male,other
408,Ganglion cyst,Knee pain,62,Leg pain,53,Wrist pain,53,Skin growth,45,Wrist lump or mass,34,Hand or finger lump or mass,33,Hand or finger pain,31,Foot or toe pain,25,Knee lump or mass,15,Leg swelling,15,Knee swelling,13,Wrist swelling,"11"""," Also known as Synovial Cyst and Myxoid Cyst , , ,A ganglion cyst, also known as a Bible cyst or Bible bump, is a benign soft tissue tumor that may occur in any joint, but most often occurs on or around joints and tendons in the hands or feet. , Source: Wikipedia,Patients with ganglion cyst often receive ",",Radiographic imaging procedure,Plain x ray X ray,Complete physical skin exam performed ML,Magnetic resonance imaging Mri,Excision Removal,Wound care management,Physical therapy exercises Exercises,Application of splint Splinting",",Piroxicam,Goldenseal Preparation,Aluminum Sulfate Topical,Penbutolol Levatol,Thrombin Topical,Ethyl Chloride Topical,Ceftizoxime,Trolamine Salicylate Topical,Lysine,Fenofibric Acid Trilipix,Hydrocortisone Pramoxine Topical,Lutein",Unspecified,Unspecified,other
409,Dislocation of the knee,Knee pain,95,Shoulder pain,30,Knee swelling,30,Joint pain,18,Knee stiffness or tightness,"18""",,,,,,,,,,,,,,," Also known as Knee Dislocation and Dislocated Knee , , ,Slippage of the FEMUR off the TIBIA. , Source: MeSH,Patients with dislocation of the knee often receive ",",Radiographic imaging procedure,Plain x ray X ray,Application of splint Splinting,Physical therapy exercises Exercises,Magnetic resonance imaging Mri,Other diagnostic procedures interview evaluation consultation,Electroencephalogram EEG Eeg,Other non OR therapeutic procedures on musculoskeletal system",",Triamcinolone Topical Product,Triamterene,Glucosamine,Bupivacaine,Mecamylamine,Grepafloxacin Raxar,Malathion Topical,Gemtuzumab Mylotarg,Gadoteridol Prohance,Devil S Claw Preparation",15-29,Unspecified,other
410,Crohn disease,Sharp abdominal pain,74,Diarrhea,42,Vomiting,38,Nausea,33,Burning abdominal pain,20,Blood in stool,17,Rectal bleeding,15,Pain of the anus,6,Joint pain,6,Stomach bloating,6,Heartburn,6,Regurgitation,"4"""," Also known as Granulomatous Enteritis , , ,Crohn's disease, also known as Crohn syndrome and regional enteritis, is a type of inflammatory bowel disease that may affect any part of the gastrointestinal tract from mouth to anus, causing a wide variety of symptoms. It primarily causes abdominal pain, diarrhea (which may be bloody if inflammation is at its worst), vomiting (can be continuous), or weight loss, but may also cause complications outside the gastrointestinal tract such as skin rashes, arthritis, inflammation of the eye, tiredness, and lack of concentration. Crohn's disease is caused by interactions between environmental, immunological and bacterial factors in genetically susceptible individuals. This results in a chronic inflammatory disorder, in which the body's immune system attacks the gastrointestinal tract possibly directed at microbial antigens. Crohn's disease has wrongly been described as an autoimmune disease in the past; recent investigators have described it as an immune deficiency state. , Source: Wikipedia,Patients with crohn disease often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Urinalysis,Glucose measurement Glucose level,Intravenous fluid replacement,Kidney function tests Kidney function test,Electrolytes panel,X ray computed tomography Scan ct",",Mesalamine Asacol,Infliximab Remicade,Azathioprine,Metronidazole,Vitamin B 12,Sulfasalazine,Mercaptopurine,Loperamide Imodium,Budesonide,Dicyclomine,Adalimumab Humira,Methotrexate",30-44,Unspecified,other
411,Postoperative infection,Fever,40,Abnormal appearing skin,33,Sharp abdominal pain,27,Skin on leg or foot looks infected,14,Skin swelling,9,Fluid retention,9,Leg swelling,9,Skin on arm or hand looks infected,6,Jaw swelling,6,Recent pregnancy,6,Fluid in ear,6,Irregular belly button,"6"""," , ,Postoperative infection is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with postoperative infection often receive , ",",Wound care management,Hematologic tests Blood test,Complete blood count Cbc,Intravenous fluid replacement,Complete physical skin exam performed ML,Glucose measurement Glucose level,Electrolytes panel,Kidney function tests Kidney function test",",Vancomycin,Zosyn,Iodine Topical,Daptomycin,Mafenide Topical,Sodium Hypochlorite Topical,Rifampin,Cellulose,Cefadroxil,Treprostinil Remodulin,Gentamicin Topical,Hyaluronidase,Pyrimethamine",45-59,Unspecified,other
412,Folate deficiency,Shortness of breath,48,Sharp chest pain,37,Sharp abdominal pain,31,Weakness,31,Difficulty breathing,23,Fatigue,23,Vomiting blood,13,Melena,13,Delusions or hallucinations,13,Joint pain,13,Problems during pregnancy,13,Increased heart rate,"13"""," Also known as Folic Acid Deficiency , , ,Folate deficiency is a lack of folic acid in the diet and the signs are often subtle. Folate deficiency anemia is the medical name given for the condition. , Source: Wikipedia,Patients with folate deficiency often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Electrolytes panel,Glucose measurement Glucose level,Urinalysis,Kidney function tests Kidney function test,Electrocardiogram,Plain x ray X ray",",Vitamin B 12,Folic Acid,Pioglitazone Actos,Darbepoetin Alfa Aranesp,Nebivolol Bystolic,Epoetin Alfa Procrit,Fosinopril,Doxazosin,Opium,Butalbital G 1,Clomipramine,Ceftazidime",75+,Unspecified,other
413,Fluid overload,Shortness of breath,84,Peripheral edema,58,Sharp abdominal pain,47,Fluid retention,44,Leg swelling,35,Nausea,35,Difficulty breathing,35,Vomiting,30,Weakness,30,Cough,24,Sharp chest pain,24,Hand or finger swelling,"18"""," Also known as Hypervolemia and Excess Fluid Volume , , ,Hypervolemia, or fluid overload, is the medical condition where there is too much fluid in the blood. The opposite condition is hypovolemia, which is too little fluid volume in the blood. Fluid volume excess in the intravascular compartment occurs due to an increase in total body sodium content and a consequent increase in extracellular body water. The mechanism usually stems from compromised regulatory mechanisms for sodium handling as seen in congestive heart failure (CHF), kidney failure, and liver failure. It may also be caused by excessive intake of sodium from foods, intravenous (IV) solutions and blood transfusions, medications, or diagnostic contrast dyes. , Source: Wikipedia,Patients with fluid overload often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Radiographic imaging procedure,Electrocardiogram,Plain x ray X ray,Glucose measurement Glucose level,Kidney function tests Kidney function test,Electrolytes panel",",Furosemide,Clonidine,Sodium Bicarbonate,Heparin,Sodium Polystyrene Sulfonate Kayexalate,Tacrolimus Prograf,Vancomycin,Minoxidil Rogaine,Torsemide,Epoetin Alfa Procrit,Mycophenolate Mofetil Cellcept,Chlorothiazide","60-74,45-59",Unspecified,hispanic
414,Atrial flutter,Irregular heartbeat,70,Increased heart rate,50,Palpitations,48,Shortness of breath,38,Sharp chest pain,29,Difficulty breathing,29,Dizziness,29,Fatigue,29,Chest tightness,21,Frequent urination,12,Swollen lymph nodes,6,Feeling hot,"6"""," Also known as Flutter Auricular , , ,Atrial flutter (AFL) is an abnormal heart rhythm that occurs in the atria of the heart. When it first occurs, it is usually associated with a fast heart rate or tachycardia (beats over 100 per minute), and falls into the category of supra-ventricular tachycardias. While this rhythm occurs most often in individuals with cardiovascular disease (e.g. hypertension, coronary artery disease, and cardiomyopathy) and diabetes, it may occur spontaneously in people with otherwise normal hearts. It is typically not a stable rhythm, and frequently degenerates into atrial fibrillation (AF). However, it does rarely persist for months to years. , Source: Wikipedia,Patients with atrial flutter often receive ",",Electrocardiogram,Hematologic tests Blood test,Radiographic imaging procedure,Complete blood count Cbc,Electrolytes panel,Glucose measurement Glucose level,Kidney function tests Kidney function test,Plain x ray X ray",",Warfarin,Furosemide,Diltiazem,Digoxin,Carvedilol,Amiodarone,Sotalol,Spironolactone,Enoxaparin Lovenox,Flecainide,Propafenone,Adenosine,Colchicine","75+,60-74",Unspecified,other
415,Skin disorder,Skin lesion,75,Abnormal appearing skin,44,Skin rash,44,Skin moles,26,Skin growth,25,Skin swelling,23,Itching of skin,22,Acne or pimples,17,Skin dryne,,,,14,Irregular appearing scalp,12,Warts," Also known as Skin Disease, Dermatosis, Integumentary Disease, Dermatological Disease, and Dermatological Disorders , , ,A cutaneous condition is any medical condition that affects the integumentary system  the organ system that encloses the body and includes skin, hair, nails, and related muscle and glands. The major function of this system is as a barrier against the external environment. , Source: Wikipedia,Patients with skin disorder often receive ",",Complete physical skin exam performed ML,Excision Removal,Wound care management,Biopsy,Excision of skin lesion,Other diagnostic procedures on skin and subcutaneous tissue,Lipid panel,Examination of foot",",Clobetasol Topical,Tretinoin Topical,Fluocinonide Topical,Silver Nitrate Topical Each,Fluorouracil,Imiquimod Topical,Fluorouracil Topical,Benzoyl Peroxide Erythromycin Topical,Benzoyl Peroxide Clindamycin Topical,Lactic Acid Topical,Hydroquinone Topical,Azelaic Acid Topical","75+,60-74",Unspecified,other
416,Floaters,Spots or clouds in vision,88,Diminished vision,69,Lacrimation,23,Pain in eye,17,Symptoms of eye,17,Itchiness of eye,17,Eye burns or stings,9,Foreign body sensation in eye,"9""",,,,,,,,," Also known as Eye Floater, Vitreous Floaters, Myodesopsia, and Muscae Volitantes , , ,Floaters are deposits of various size, shape, consistency, refractive index, and motility within the eyes vitreous humour, which is normally transparent. At a young age, the vitreous is transparent, but as one ages, imperfections gradually develop. The common type of floater, which is present in most peoples eyes, is due to degenerative changes of the vitreous humour. The perception of floaters is known as myodesopsia, or less commonly as myodaeopsia, myiodeopsia, myiodesopsia. They are also called Muscae volitantes (Latin: ""flying flies""), or mouches volantes (from the French). Floaters are visible because of the shadows they cast on the retina or refraction of the light that passes through them, and can appear alone or together with several others in ones visual field. They may appear as spots, threads, or fragments of cobwebs, which float slowly before the observers eyes. Since these objects exist within the eye itself, they are not optical illusions but are entoptic phenomena. , Source: Wikipedia,Patients with floaters often receive ",",Ophthalmic examination and evaluation Eye exam,Other intraocular therapeutic procedures,Other therapeutic procedures on eyelids conjunctiva cornea,Ophthalmologic and otologic diagnosis and treatment,Biopsy,Diagnostic procedures on eye",",Tropicamide Ophthalmic,Phenylephrine Duramax,Benoxinate Fluorescein Ophthalmic,Ocular Lubricant,Loteprednol Ophthalmic,Fluorescein Ophthalmic,Cyclosporine Ophthalmic,Timolol,Teriparatide Forteo,Colestipol,Methyl Salicylate Menthol Topical,Azelastine Ophthalmic","75+,60-74",Unspecified,other
417,Tooth disorder,Toothache,96,Facial pain,44,Gum pain,37,Ear pain,31,Headache,26,Mouth pain,22,Peripheral edema,22,Jaw swelling,13,Pain in gums,11,Bleeding gums,4,Mouth ulcer,3,Swollen lymph nodes,"3"""," Also known as Tooth Disease, Dental Disease, and Disease Of Teeth , , ,Your teeth are made of a hard, bonelike material. Inside the tooth are nerves and blood vessels. You need your teeth for many activities you may take for granted. These include eating, speaking and even smiling. But tooth disorders are nothing to smile about. They include problems such as cavities (also known as tooth decay), infections, and injuries. The most familiar symptom of a tooth problem is a toothache. Others include worn-down or loose teeth. It's important that you see a dentist if you have any problems with your teeth. Fortunately, you can prevent many tooth disorders by taking care of your teeth and keeping them clean. , Source: MedlinePlus,Patients with tooth disorder often receive ",",Other diagnostic radiology and related techniques,Treatment facial fracture or dislocation,Dental procedures Care dental",",Penicillin,Clindamycin,Benzocaine Topical,Clove,Menthol Phenol Topical,Glubionate Calcium,Cephalothin,Pimozide Orap","30-44,15-29",Unspecified,other
418,Heart attack,Sharp chest pain,90,Shortness of breath,56,Chest tightness,37,Nausea,25,Arm pain,20,Fainting,17,Sweating,10,Lower body pain,8,Heartburn,8,Irregular heartbeat,6,Burning chest pain,5,Increased heart rate,"4"""," Also known as MI, Myocardial Infarction, Coronary Attack, and Cardiac Infarction , , ,Myocardial infarction (MI) or acute myocardial infarction (AMI), commonly known as a heart attack, results from the partial interruption of blood supply to a part of the heart muscle, causing the heart cells to be damaged or die. This is most commonly due to occlusion (blockage) of a coronary artery following the rupture of a vulnerable atherosclerotic plaque, which is an unstable collection of cholesterol and fatty acids and white blood cells in the wall of an artery. The resulting ischemia (restriction in blood supply) and ensuing oxygen shortage, if left untreated for a sufficient period of time, can cause damage or death (infarction) of heart muscle tissue (myocardium). , Source: Wikipedia,Patients with heart attack often receive ",",Electrocardiogram,Hematologic tests Blood test,Complete blood count Cbc,Radiographic imaging procedure,Plain x ray X ray,Cardiac enzymes measurement Cardiac enzymes test,Kidney function tests Kidney function test,Intravenous fluid replacement",",Aspirin,Nitroglycerin,Metoprolol,Clopidogrel Plavix,Heparin,Enoxaparin Lovenox,Isosorbide,Oxygen,Eptifibatide Integrilin,Amiodarone,Dopamine,Tenecteplase,Bisoprolol Emcor","75+,60-74",Unspecified,other
419,Open wound of the abdomen,Sharp abdominal pain,35,Irregular belly button,11,Sweating,6,Swollen abdomen,6,Blindness,"6""",,,,,,,,,,,,,,," , ,Open wound of the abdomen is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with open wound of the abdomen often receive , ",",Wound care management,Complete physical skin exam performed ML,Intravenous fluid replacement,X ray computed tomography Scan ct,Kidney function tests Kidney function test,Suturing of wound,Prothrombin time assay Prothrombin time,Liver function tests Liver test",",Cefazolin,Silver Sulfadiazine Topical,Tetracycline,Bimatoprost Ophthalmic,Daptomycin,Papain Urea Topical,Sodium Hypochlorite Topical,Iodine Topical,Fludrocortisone,Oxaliplatin,Insulin Isophane Humulin N",Unspecified,Unspecified,other
420,Fracture of the leg,Hip pain,65,Leg pain,56,Knee pain,44,Ankle pain,35,Problems with movement,17,Leg swelling,11,Knee swelling,10,Ankle swelling,7,Leg stiffness or tightness,3,Leg weakness,3,Knee weakness,2,Hip stiffness or tightness,"2"""," Also known as Broken Leg, Leg Fracture, Lower Extremity Fracture, and Lower Limb Fractures , , ,Fracture of the leg is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with fracture of the leg often receive , ",",Radiographic imaging procedure,Plain x ray X ray,Complete blood count Cbc,Intravenous fluid replacement,Kidney function tests Kidney function test,Electrocardiogram,Electrolytes panel,Glucose measurement Glucose level",",Darifenacin Enablex,Guanfacine Intuniv,Vitamin K 1 Mephyton,Dalteparin Fragmin,Lvp Solution,Disopyramide,Plasma Protein Fraction Plasmanate,Lactobacillus Acidophilus And Bulgaricus,Levobunolol Ophthalmic,Dronedarone Multaq,Fondaparinux Arixtra",75+,Unspecified,other
421,Oral thrush (yeast infection),Fever,50,Nasal congestion,44,Cough,43,Skin rash,39,Sore throat,33,Abnormal appearing tongue,32,Irritable infant,32,Mouth ulcer,29,Diaper rash,28,Constipation,28,Tongue lesions,20,Mouth pain,"19"""," , ,Candida is the scientific name for yeast. It is a fungus that lives almost everywhere, including in your body. Usually, your immune system keeps yeast under control. If you are sick or taking antibiotics, it can multiply and cause an infection. Yeast infections affect different parts of the body in different ways: ,Thrush is a yeast infection that causes white patches in your mouth ,Esophagitis is thrush that spreads to your esophagus, the tube that takes food from your mouth to your stomach. Esophagitis can make it hard or painful to swallow ,Women can get vaginal yeast infections, causing itchiness, pain and discharge ,Yeast infections of the skin cause itching and rashes ",",Complete physical skin exam performed ML,Other diagnostic procedures interview evaluation consultation,Occupational therapy assessment Speech therapy,Diagnostic bronchoscopy and biopsy of bronchus,Other non OR therapeutic procedures on skin and breast,Nonoperative urinary system measurements,Other respiratory therapy,Other OR therapeutic nervous system procedures",",Nystatin Topical Product,Fluconazole Diflucan,Clotrimazole Topical,Rotavirus Vaccines Rotavirus Vaccine,Gentian Violet Topical,Clotrimazole,Simethicone Degas,Amphotericin B,Lopinavir,Dapsone,Glycerin Fleet,Glycerin Topical,Nystatin",< 1,Unspecified,black
422,Pityriasis rosea,Skin rash,93,Itching of skin,67,Abnormal appearing skin,45,Skin swelling,24,Warts,19,Vaginal itching,7,Fears and phobias,7,Weight gain,7,Acne or pimples,7,Excessive appetite,7,Skin growth,7,Dry or flaky scalp,"7"""," , ,Pityriasis rosea (also known as pityriasis rosea Gibert) is a skin rash. It is benign but may inflict substantial discomfort in certain cases. Classically, it begins with a single ""herald patch"" lesion, followed in 1 or 2 weeks by a generalized body rash lasting up to 12 weeks, however usually around 6 - 8. , Source: Wikipedia,Patients with pityriasis rosea often receive ",",Complete physical skin exam performed ML,Microscopic examination bacterial smear culture toxicology,Examination of foot,Biopsy,Ophthalmic examination and evaluation Eye exam,Other therapeutic procedures,HIV screen Hiv test,Bone density scan",",Diphenhydramine Benadryl,Hydroxyzine,Hydrocortisone Topical,Triamcinolone,Fluocinonide Topical,Tacrolimus Topical Product,Cortisone,Fluticasone Topical Product,Acitretin Soriatane,Lactic Acid Topical,Desonide Topical,Betamethasone Clotrimazole Topical,Clobetasol Topical","5-14,1-4,15-29",Unspecified,black and
423,Allergy to animals,Nasal congestion,88,Allergic reaction,77,Itchiness of eye,67,Cough,67,Fever,49,Sore throat,49,Smoking problems,49,Acne or pimples,49,Peripheral edema,49,Abnormal appearing skin,49,Cross-eyed,4,Wrist weakness,"4"""," Also known as Animal Dander Allergy , , ,Allergy to animals is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with allergy to animals often receive , ",",Other diagnostic procedures on skin and subcutaneous tissue,Influenzavirus antibody assay,Blood culture,CAT scan of head Head ct,Liver function tests Liver test,Corneal transplant,Procedures on spleen Spleen operation,Removal of ectopic pregnancy",",Cetirizine Zyrtec,Fluticasone Topical Product,Gentamicins Gentamicin,Minocycline,Nicotine,Olopatadine Ophthalmic,Acyclovir,Epinephrine,Triamcinolone,Hydrocortisone Topical,Guaifenesin Mucinex,Mometasone Nasal Product","30-44,5-14",Unspecified,other
424,Orthostatic hypotension,Dizziness,86,Fainting,69,Weakness,54,Headache,40,Sharp chest pain,24,Feeling ill,21,Fatigue,21,Irregular heartbeat,16,Increased heart rate,11,Hurts to breath,11,Abnormal involuntary movements,11,Palpitations,"11"""," Also known as Postural Hypotension , , ,Orthostatic hypotension, also known as postural hypotension, orthostasis, and colloquially as head rush or dizzy spell, is a form of hypotension in which a person's blood pressure suddenly falls when standing up or stretching. Medically it is defined as a fall in systolic blood pressure of at least 20mm Hg and diastolic blood pressure of at least 10 mm Hg when a person assumes a standing position. , Source: Wikipedia,Patients with orthostatic hypotension often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Electrocardiogram,Radiographic imaging procedure,Intravenous fluid replacement,Glucose measurement Glucose level,Electrolytes panel,Plain x ray X ray",",Midodrine,Fludrocortisone,Nortriptyline,Flecainide,Nadolol,Diatrizoate,Memantine Namenda,Dofetilide Tikosyn,Glycerin Fleet,Repaglinide Prandin",75+,Unspecified,other
425,Obstructive sleep apnea (OSA),Abnormal breathing sounds,83,Apnea,77,Sleepiness,76,Difficulty breathing,51,Fatigue,50,Insomnia,46,Shortness of breath,28,Abnormal involuntary movements,15,Weight gain,14,Difficulty in swallowing,13,Mouth dryness,5,Sweating,"4"""," Also known as OSA , , ,Osa may refer to: , Source: Wikipedia,Patients with obstructive sleep apnea (osa) often receive ",",Other diagnostic procedures interview evaluation consultation,Other therapeutic procedures on eyelids conjunctiva cornea,Ultrasonography Ultrasound,Echocardiography,Electroencephalogram EEG Eeg,Ophthalmologic and otologic diagnosis and treatment,Referral to home health care service,Other OR upper GI therapeutic procedures",",Zaleplon Sonata,Ropinirole,Oxymetazoline Nasal,Pramipexole Mirapex,Armodafinil Nuvigil,Ciclesonide Omnaris,Dihydroergotamine,Valdecoxib Bextra,Drospirenone Estradiol,Cascara Sagrada,Dipivefrin Ophthalmic","60-74,45-59",Unspecified,other
426,Hypokalemia,Vomiting,62,Nausea,58,Sharp abdominal pain,53,Dizziness,47,Sharp chest pain,47,Weakness,47,Diarrhea,45,Shortness of breath,33,Fainting,32,Fever,31,Headache,27,Loss of sensation,"21"""," Also known as Potassium Deficiency, K Deficiency, Hypopotassemia, and Potassium Depletion , , ,Hypokalemia (American English) or hypokalaemia (British English), also hypopotassemia or hypopotassaemia (ICD-9), refers to the condition in which the concentration of potassium (K+) in the blood is low. The prefix hypo- means ""under"" (contrast with hyper-, meaning ""over""); kal- refers to kalium, the Neo-Latin for potassium, and -emia means ""condition of the blood."" , Source: Wikipedia,Patients with hypokalemia often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Intravenous fluid replacement,Kidney function tests Kidney function test,Electrolytes panel,Glucose measurement Glucose level,Radiographic imaging procedure,Urinalysis",",Potassium Chloride,Sodium Polystyrene Sulfonate Kayexalate,Magnesium Sulfate,Adenosine,Dolasetron Anzemet,Reteplase,Potassium Phosphate Sodium Phosphate Neutra Phos,Posaconazole,Magnesium Salicylate Magan,Diphenoxylate Lomotil,Papaverine","75+,60-74",Unspecified,other
427,Psoriasis,Skin rash,64,Itching of skin,38,Skin dryne,,,,26,Skin lesion,24,Abnormal appearing skin,22,Itchy scalp,16,Irregular appearing scalp,14,Joint pain,13,Skin moles,10,Skin growth,9,Skin swelling," , ,Psoriasis /s??ra?.?s?s/ is an immune-mediated disease that affects the skin. It is typically a lifelong condition. There is currently no cure, but various treatments can help to control the symptoms. , Source: Wikipedia,Patients with psoriasis often receive ",",Complete physical skin exam performed ML,Lipid panel,Other therapeutic procedures,Biopsy,Excision Removal,Other diagnostic procedures on skin and subcutaneous tissue,Excision of skin lesion,Referral to home health care service",",Clobetasol Topical,Calcipotriene Topical,Methotrexate,Triamcinolone,Betamethasone Topical Product,Betamethasone Calcipotriene Topical,Etanercept Enbrel,Fluocinonide Topical,Triamcinolone Topical Product,Tacrolimus Topical Product,Salicylic Acid Topical,Ketoconazole,Acitretin Soriatane","60-74,45-59",Unspecified,other
